"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Istanbul,  Turkey","Istanbul"," Turkey","Istanbul, Fatih, Istanbul, Marmara Region, 34126, Turkey","41.0096334","28.9651646","1823.141","19418.847","3","0"
"Berlin,  Germany","Berlin"," Germany","Berlin, 10117, Germany","52.5170365","13.3888599","1834.214","18496.75","4","0"
"Urbana,  United States","Urbana"," United States","Urbana, Champaign County, Illinois, 61801-9998, United States","40.1117174","-88.207301","2001.975","26211.908","2","0"
"Salt Lake City,  United States","Salt Lake City"," United States","Salt Lake City, Salt Lake County, Utah, United States","40.7596198","-111.8867975","2374.438","32855.586","2","0"
"Albuquerque,  United States","Albuquerque"," United States","Albuquerque, Bernalillo County, New Mexico, 87102, United States","35.0841034","-106.650985","2376.788","32906.035","2","0"
"Auckland,  New Zealand","Auckland"," New Zealand","Auckland, Waitematā, Auckland, 1010, New Zealand","-36.852095","174.7631803","2719.647","39230.241","1","0"
"Beijing,  China","Beijing"," China","Beijing, Dongcheng District, Beijing, 100010, China","39.906217","116.3912757","2757.689","38670.374","2","0"
"Seoul,  South Korea","Seoul"," South Korea","Seoul, Nowon-gu, South Korea","37.5666791","126.9782914","3038.697","41675.953","2","0"
"Suwon-si,  South Korea","Suwon-si"," South Korea","Suwon-si, Gyeonggi, South Korea","37.2633325","127.0287472","3050.202","41799.006","2","0"
"Oak Ridge,  United States","Oak Ridge"," United States","Oak Ridge, Anderson County, Tennessee, 37830, United States","36.0103562","-84.2696449","3971.684","51612.507","4","0"
